Order Channel,Quantity,Unit Price,Customer Type,Category Group,shippingStatus,Category,Delivery Date
Mobile App,2.0,7000.0,General Trade,Baby,delivered,Infant Care,2020-12-02 12:01:00
Mobile App,1.0,7000.0,General Trade,Baby,delivered,Infant Care,2020-12-02 12:01:00
Mobile App,1.0,7000.0,General Trade,Baby,delivered,Infant Care,2020-12-02 12:01:00
Whatsapp,1.0,7000.0,General Trade,Baby,delivered,Infant Care,2020-12-02 12:08:00
Whatsapp,1.0,7000.0,General Trade,Baby,delivered,Infant Care,2020-12-02 12:08:00
Mobile App,1.0,16800.0,General Trade,Baby,delivered,Baby Food,2020-12-02 19:32:00
Mobile App,1.0,24350.0,General Trade,Baby,delivered,Baby Food,2020-12-02 19:32:00
Whatsapp,1.0,12200.0,General Trade,Baby,delivered,Infant Care,2020-12-03 12:41:00
Whatsapp,1.0,7000.0,General Trade,Baby,delivered,Infant Care,2020-12-03 12:41:00
Mobile App,5.0,7000.0,General Trade,Baby,delivered,Infant Care,2020-12-03 17:07:00
Mobile App,5.0,7000.0,General Trade,Baby,delivered,Infant Care,2020-12-03 17:07:00
Mobile App,5.0,7000.0,General Trade,Baby,delivered,Infant Care,2020-12-03 17:07:00
Mobile App,5.0,7000.0,General Trade,Baby,delivered,Infant Care,2020-12-03 17:07:00
Mobile App,1.0,16800.0,Modern Trade,Baby,delivered,Baby Food,2020-12-03 17:59:00
Whatsapp,1.0,7480.0,General Trade,Baby,delivered,Infant Care,2020-12-04 20:31:00
Mobile App,1.0,16800.0,General Trade,Baby,delivered,Baby Food,2020-12-05 11:18:00
Whatsapp,1.0,13100.0,General Trade,Baby,delivered,Infant Care,2020-12-05 18:43:00
Whatsapp,1.0,24350.0,General Trade,Baby,delivered,Baby Food,2020-12-06 23:21:00
Whatsapp,2.0,13100.0,General Trade,Baby,delivered,Infant Care,2020-12-06 23:21:00
Whatsapp,5.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-06 23:21:00
Whatsapp,3.0,7480.0,General Trade,Baby,delivered,Infant Care,2020-12-06 23:21:00
Whatsapp,3.0,7480.0,General Trade,Baby,delivered,Infant Care,2020-12-06 23:21:00
Whatsapp,2.0,7480.0,General Trade,Baby,delivered,Infant Care,2020-12-06 23:21:00
Whatsapp,1.0,16800.0,General Trade,Baby,delivered,Baby Food,2020-12-06 23:21:00
Whatsapp,1.0,16800.0,General Trade,Baby,delivered,Baby Food,2020-12-08 07:55:00
Whatsapp,1.0,16800.0,General Trade,Baby,delivered,Baby Food,2020-12-08 07:55:00
Mobile App,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-08 13:57:00
Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-08 19:01:00
Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-08 19:01:00
Whatsapp,2.0,16800.0,Wholesale,Baby,delivered,Baby Food,2020-12-10 10:03:00
Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-10 13:31:00
Whatsapp,1.0,13100.0,General Trade,Baby,delivered,Infant Care,2020-12-11 12:37:00
Whatsapp,1.0,13100.0,General Trade,Baby,delivered,Infant Care,2020-12-11 12:37:00
Whatsapp,1.0,7480.0,General Trade,Baby,delivered,Infant Care,2020-12-11 12:37:00
Whatsapp,1.0,16800.0,General Trade,Baby,delivered,Baby Food,2020-12-11 12:37:00
Mobile App,2.0,16800.0,General Trade,Baby,delivered,Baby Food,2020-12-11 14:03:00
Whatsapp,1.0,16800.0,Wholesale,Baby,delivered,Baby Food,2020-12-12 11:51:00
Whatsapp,0.5,35000.0,General Trade,Baby,delivered,Baby Food,2020-12-12 19:54:00
Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-14 15:50:00
Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-14 15:50:00
Mobile App,1.0,35000.0,Wholesale,Baby,delivered,Baby Food,2020-12-14 17:22:00
Mobile App,10.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-15 12:29:00
Mobile App,3.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-15 12:29:00
Mobile App,2.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-15 13:47:00
Mobile App,1.0,13100.0,General Trade,Baby,delivered,Infant Care,2020-12-15 13:47:00
Whatsapp,2.0,7480.0,General Trade,Baby,delivered,Infant Care,2020-12-15 16:51:00
Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-15 16:51:00
Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-15 16:51:00
Whatsapp,1.0,13100.0,General Trade,Baby,delivered,Infant Care,2020-12-15 16:51:00
Mobile App,1.0,13100.0,Wholesale,Baby,delivered,Infant Care,2020-12-15 18:44:00
Whatsapp,1.0,16800.0,General Trade,Baby,delivered,Baby Food,2020-12-16 09:42:00
Whatsapp,1.0,4700.0,Wholesale,Baby,delivered,Infant Care,2020-12-16 21:31:00
Whatsapp,1.0,4700.0,Wholesale,Baby,delivered,Infant Care,2020-12-16 21:31:00
Mobile App,0.5,16800.0,General Trade,Baby,delivered,Baby Food,2020-12-17 12:07:00
Whatsapp,1.0,13100.0,General Trade,Baby,delivered,Infant Care,2020-12-17 14:56:00
Whatsapp,1.0,13100.0,General Trade,Baby,delivered,Infant Care,2020-12-17 14:56:00
Whatsapp,2.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-17 15:07:00
